SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
26 29 6 5 2 1 1 2 719 1 2099 1
26 30 6 6 1 2 1 1 629 1 2804 1
26 31 6 4 2 1 1 2 633 1 2642 1
26 32 2 2 2 2 1 2 508 1 1027 1
26 33 4 2 2 2 1 2 1154 1 1692 1
26 34 5 1 1 2 1 1 1056 0 2408 1
26 35 4 4 2 1 1 2 744 1 2767 1
26 36 1 1 2 1 1 2 607 1 816 1
26 37 6 5 2 2 1 2 943 0 2092 1
26 38 3 3 2 2 1 2 764 1 1321 1
26 39 5 3 2 1 1 2 597 1 3225 1
26 40 6 6 2 2 1 2 579 1 2555 1
26 41 3 3 1 2 1 1 490 1 1319 1
26 42 4 1 2 2 1 2 657 1 2164 1
26 43 6 5 1 1 1 1 861 1 2281 1
26 44 4 1 1 1 1 1 789 1 1955 1
26 45 5 5 2 2 1 2 697 1 2133 1
26 46 4 4 1 1 1 1 483 1 3904 1
26 47 3 3 1 1 1 1 506 1 1276 1
26 48 3 2 2 2 1 2 710 1 1349 1
26 49 5 4 2 2 1 2 550 1 2369 1
26 50 6 3 1 1 1 1 761 0 3001 1
26 51 3 1 1 2 1 1 487 1 1301 1
26 52 5 1 1 1 1 1 691 1 2684 1
26 53 5 4 1 1 1 1 831 1 2636 1
26 54 6 1 2 1 0 1 1082 1 3646 1
26 55 4 2 2 1 1 2 926 1 1626 1
26 56 2 2 1 1 1 1 627 1 1082 1
26 57 4 3 2 1 1 2 610 1 1599 1
26 58 1 1 2 2 1 2 566 1 952 1
26 59 2 2 1 2 1 1 486 1 1240 1
26 60 6 4 2 2 1 2 1621 1 2838 1
26 61 3 3 2 1 1 2 676 1 1363 1
26 62 5 2 2 1 1 2 728 1 2620 1
26 63 5 3 2 2 1 2 1009 1 2508 1
